,shap
"$I_{B, d_{z^2}}^{\downarrow -}$",3.383575295235075
$q_B$,3.161839622646291
"$DOS_{B, d_{z^2}}^{\downarrow}$",2.690361261688927
$q_T$,2.554220676793268
"$D_{B, d_{z^2}}^{\uparrow +}$",2.470571751015318
"$E_{B, d_{xy}}^{\downarrow -}$",2.3682676387759822
"$I_{T, d_{z^2}}^{\downarrow -}$",2.039949554209409
"$DOS_{T, d_{z^2}}^{\downarrow}$",2.0146755181891036
"$E_{B, d_{xz}}^{\downarrow +}$",1.8483439349788502
"$I_{B, d_{xz}}^{\uparrow +}$",1.836159739297441
$h_{sub}$,1.7820614030309827
"$DOS_{B, d_{xz}}^{\uparrow}$",1.6682816532604083
"$DOS_{T, d_{xz}}^{\uparrow}$",1.60622804317278
"$E_{B, d_{z^2}}^{\downarrow +}$",1.5190678112924256
"$D_{B, d_{x^2-y^2}}^{\downarrow -}$",1.4888958481829861
"$I_{B, d_{xz}}^{\uparrow -}$",1.4311762864128421
"$D_{B, d_{xz}}^{\uparrow +}$",1.4260622587031437
"$E_{B, d_{x^2-y^2}}^{\uparrow -}$",1.355476873913808
"$DOS_{T, d_{z^2}}^{\uparrow}$",1.3288671944525898
"$E_{B, d_{x^2-y^2}}^{\downarrow -}$",1.2699345371617057
"$E_{B, d_{yz}}^{\downarrow +}$",1.2263615464075883
"$E_{T, d_{x^2-y^2}}^{\uparrow -}$",1.1486983341906438
$d_{len}$,1.1293502726901863
"$D_{T, d_{z^2}}^{\uparrow -}$",1.0455385271136335
$BG_\text{dir}^{\uparrow}$,1.0316968601697265
